title,brand,three_star,four_star,five_star,reviewsCount,price,productPosition
"Gifts for Women, Mom, Wife, Girlfriend, Sister, Her - Happy Birthday, Christmas, Valentine's Day, Mothers Day Gifts - Lavender Spa Gift Basket Set",LE CADEAU,0.03,0.07,0.87,393,22.99,31
"Valentines Day Gifts for Her,Birthday Gifts for Women,Valentines Flowers Gifts for Women,Valentine's Day Roses Gifts for Mom Girlfriend Wife,Colorful Rose In A Glass Dome Gifts for Valentine Day",QUNPON,0.04,0.09,0.84,4062,14.98,26
Him Her Couple Gifts for Boyfriend Girlfriend Food Decider 11th Anniversary Steel Date Night Gifts for Husband Wife for Wedding Christmas Valentines Birthday for Women Men,STUNFASSOO,0.06,0.1,0.8,333,13.99,20
Candles Gifts for Her Funny Novelty Unique Valentines Day Anniversary Christmas Birthday Gift for Girlfriend Wife Lavender Scented Soy Candle,BFJLIFE,0.07,0.12,0.73,316,,23
"Valentines Day Gifts for Him/Her, Romantic Novelty Gifts Toilet Paper, Funny Gag Gifts for Adults Men Women Boyfriend Girlfriend, Valentine's Day Decor for Party Supplies Christmas Stocking Stuffers",Likeny,0.06,0.12,0.73,464,11.99,29
"Ferrero Collection, 16 Count, Assorted Hazelnut, Chocolate and Coconut, Valentine's Chocolate Heart Gift Box, 6.2 oz",Ferrero Rocher,0,0.09,0.85,46,9.97,14
EBMORE Womens Fuzzy Socks Slipper Soft Cabin Plush Warm Fluffy Winter Sleep Cozy Adult Socks,EBMORE,0.04,0.1,0.82,3214,,28
"Brach's FRIENDS Valentine's Day Conversation Hearts Candy, 6 oz Bag",Brach's,0.09,0.1,0.58,416,11.5,22
Valentine's Day Gift Care Package (50ct) Snacks Chocolates Candy Gift Box Assortment Variety Bundle Crate Present for Boy Girl Friend Student College Child Husband Wife Boyfriend Girlfriend Love Niece,CRAVEBOX,0.06,0.11,0.77,2637,,17
"LUCKOR Personalized Valentines Day Gifts for Him Her, Customized Spotify Acrylic Plaque with Photo, Custom LED Walnut Picture Frame for Boyfriend Girlfriend, Anniversary Romantic Gifts for Couples",LUCKOR,0.04,0.08,0.75,398,,9
"Jinsome 32 Pack Valentine's Day Heart-Shaped Pop Fidget Toys for Kids, Classroom Bulk Gifts with Keychains & Cards, Perfect for School Party & Class Exchanges",Jinsome,0,0.09,0.91,26,18.99,21
"LEGO Heart Ornament Building Toy Kit, Heart Shaped Arrangement of Artificial Flowers, Great Gift for Valentine's Day, Unique Arts & Crafts Activity for Kids, Girls and Boys Ages 9 and Up, 40638",LEGO,0.02,0.07,0.87,401,,13
"HERSHEY'S and REESE'S Assorted Chocolate, Valentine's Day Candy Variety Bag, 23.67 oz",HERSHEY'S,0.04,0.09,0.84,1586,,6
"Ferrero Rocher, 42 Count, Gourmet Milk Chocolate Hazelnut, Valentine's Chocolate, Individually Wrapped, 18.5 oz",Ferrero Rocher,0.02,0.06,0.89,9659,,12
"Beferr Valentines Day Gifts for Her Women Birthday Gifts Galaxy Rose Enchanted Crystal Flower Gift 8.6"" Light Up Rose in Glass Dome Valentines Roses Ideas Gifts for Mom Wife Sister Girlfriend",Beferr,0.04,0.08,0.84,405,19.99,51
"Shower Steamers Aromatherapy - 18 Pack Shower Bombs Birthday Gifts for Women, Valentines Day Gifts for Her, Organic with Eucalyptus Mint Lavender Watermelon Grapefruit Essential Oils Stress Relief",JoJowell,0.09,0.15,0.66,1522,24.99,46
"LEGO Icons Wildflower Bouquet Botanical Collection Building Set for Adults, Valentine Décor for Him or Her, Artificial Flowers with Poppies and Lavender, Unique Gift for Valentines Day, 10313",LEGO,0.01,0.04,0.94,3510,,8
Push Pop 24 Count Individually Wrapped Lollipops - Variety Candy Party Pack - Bulk Lollipop Suckers in Assorted Fruity Flavors - Valentine’s Day Candy For Kids Candy Gifts and Party Favors,Push Pop,0.03,0.09,0.84,4231,14.83,42
"Peaceable Kingdom Valentines Cards for Kids Classroom, Set of 28 Valentines Day Gifts - Pop Out Airplanes",Peaceable Kingdom,0.1,0.13,0.73,1023,16.95,18
Valentines Day Gifts for Her Galaxy Rose Gifts for Women Gifts for Mom Wife Forever Rose Flowers Personalized Gifts for Women Glass Rose Flower Gift Daughter Valentine Gifts,ZALIK,0.04,0.11,0.81,1739,12.99,19
"Burt's Bees Lip Balm Valentines Day Gifts, Pink Grapefruit, Mango, Coconut and Pear & Pomegranate, With Responsibly Sourced Beeswax, Tint-Free, Natural Conditioning Lip Treatment, 4 Tubes, 0.15 oz.",Burt's Bees,0.03,0.1,0.85,25765,9.79,37
"Valentine’s Candy Variety Pack 18 Count: Bulk Individually Wrapped Candy for Kids w/ Ring Pop, Push Pop, Baby Bottle Pop & Juicy Drop - Candy Gift for Birthdays, Party Favors & Valentine’s Day Parties",Bazooka Candy Brands,0.03,0.08,0.86,27866,,54
"Valentines Day Gifts Movie Night Popcorn Gift Set, Valentines Day Gifts For Her Him, 10 Piece Set, 5 Gourmet Popcorn Kernels and 5 Popcorn Seasoning Flavoring, Kosher, Non-GMO Romantic Movie Night Gift Baskets Gift Idea",Pop n' Dulge,0.09,0.15,0.69,522,,53
"Body Restore Shower Steamers Aromatherapy 15 Pack - Valentines Day Gifts, Relaxation Birthday Gifts for Women and Men, Stress Relief and Luxury Self Care, Eucalyptus",Body Restore,0.1,0.15,0.66,19907,25.49,59
"BAIMEI Jade Roller & Gua Sha, Face Roller Redness Reducing Skin Care Tools, Massager for Face, Eyes, Neck, Relieve Wrinkles, Self Care Gift for Men Women, Valentine's Day Gifts - Rose Quartz",BAIMEI,0.06,0.14,0.77,54895,,58
"Parima Valentines Day Gifts for Her - Trendy Travel Jewelry Case, Personalized Gifts - Pink Travel Jewelry Box | Birthday Gifts for Women Valentines Day Gifts for Teens Girls | Travel Jewelry Case",Parima,0.05,0.11,0.78,833,12.79,98
